Name,Email,Region,Role,Department,Gender,Tenure,OverallSatisfaction,JobSatisfaction,OrganizationalCulture,WorkLifeBalance
"Clinton28","Bethel.Yost98@hotmail.com","Belarus","Liaison","finance","female",29,5,4,5,2
"Jean27","Hugh74@hotmail.com","Sudan","Planner","product","male",26,1,3,5,2
"Euna.West40","Alec89@yahoo.com","Algeria","Executive","tech","male",17,2,3,3,4
"Lura_Huels97","Erin_Keeling@gmail.com","Mayotte","Administrator","tech","male",16,4,2,2,3
"Caterina8","Rowland_Huels2@gmail.com","India","Specialist","content","male",16,5,4,2,4
"Fatima.Botsford","Berenice_Wilkinson31@yahoo.com","Brunei Darussalam","Assistant","content","female",24,3,1,5,2
"Jackson.Fahey","Maegan_Stoltenberg@yahoo.com","Barbados","Orchestrator","hr","male",5,5,4,1,2
"Weldon47","Yoshiko_Deckow@hotmail.com","Tajikistan","Orchestrator","tech","male",27,2,3,2,3
"Kaya_Morar","Alvis_Gerhold8@gmail.com","Solomon Islands","Liaison","finance","male",2,5,5,4,4
"Nestor.Bode","Maximillia.Feest-Douglas37@gmail.com","Madagascar","Administrator","product","male",2,3,1,4,2
"Frederique5","Taurean_Harvey1@yahoo.com","Lebanon","Strategist","hr","female",2,3,1,5,4
"Zora_Nader","Angel7@yahoo.com","Saint Pierre and Miquelon","Director","product","male",19,1,4,4,2
"Salvatore.Wyman54","Dolly_Kihn@hotmail.com","Lesotho","Architect","sales","male",17,1,1,4,2
"Elenor.Hudson","Flo_Walsh79@gmail.com","Saint Lucia","Manager","tech","female",9,2,1,1,5
"Edison18","Declan_Fahey38@yahoo.com","Sri Lanka","Liaison","tech","male",6,4,5,4,5
"Ezra.Swift3","Dejah2@gmail.com","Somalia","Manager","content","male",17,1,5,1,3
"Fredy_Gutkowski","Garrison.Bauch16@yahoo.com","Honduras","Consultant","tech","male",19,1,3,4,5
"Letitia0","Dave_Hodkiewicz@gmail.com","Cayman Islands","Strategist","finance","female",18,5,1,1,5
"Christa_Hickle31","Jessika20@gmail.com","South Georgia and the South Sandwich Islands","Officer","sales","female",18,5,5,3,3
"Cary81","Leopold_Bartoletti@gmail.com","Western Sahara","Planner","finance","male",16,4,3,3,4
"Marcelino.Mohr66","Ray8@hotmail.com","Iraq","Facilitator","tech","female",27,3,2,2,2
"Cesar83","Lew29@yahoo.com","Guinea-Bissau","Supervisor","product","female",25,2,3,2,4
"Elaina1","Tate.Moen@yahoo.com","Uruguay","Supervisor","tech","male",24,1,1,5,4
"German10","Hank_Weimann89@hotmail.com","Grenada","Architect","hr","female",5,3,2,2,3
"Otis17","Martin_Dach@yahoo.com","Philippines","Developer","product","female",13,2,2,4,3
"Franz_Hills4","Edmond_Ullrich@hotmail.com","Lao People's Democratic Republic","Officer","tech","female",7,1,5,2,2
"Madisen.Senger","Chet_Dickinson-Jast@hotmail.com","Bulgaria","Developer","product","female",21,5,4,5,3
"Chelsey_Reichel72","Twila_Steuber@hotmail.com","Trinidad and Tobago","Coordinator","tech","male",21,1,4,4,2
